id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
STO-ITEM-2020-00456_5679,"Kodomo Baby Lotion Powder 100ml","কোডোমো বেবি লোশন পাউডার ১০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Lotion_Powder_Rash_100ml.jpg,https://dorgora.com/shop/kodomo-baby-lotion-powder-100ml/,"Bath &amp; Skincare, New Arrivals","Kodomo",238BDT,in stock,STO-ITEM-2020-00456_5679,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,202BDT,new,published,,,,,,,
STO-ITEM-2020-00454_5675,"Kodomo Baby Lotion 200ml","কোডোমো বেবি লোশন ২০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Lotion_200ml_new.jpg,https://dorgora.com/shop/kodomo-baby-lotion-200ml/,"Bath &amp; Skincare, Offers","Kodomo",424BDT,in stock,STO-ITEM-2020-00454_5675,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,364BDT,new,published,,,,,,,
STO-ITEM-2020-00453_5673,"Kodomo Baby Shampoo Original 200ml","কোডোমো বেবি শ্যাম্পু ওরিজিনাল সেন্ট ২০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Shampoo_Original_200ml.jpg,https://dorgora.com/shop/kodomo-baby-shampoo-original-200ml/,"Bath &amp; Skincare, New Arrivals, Offers","Kodomo",328BDT,in stock,STO-ITEM-2020-00453_5673,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,293BDT,new,published,,,,,,,
STO-ITEM-2020-00452_5671,"Kodomo Baby shampoo Original Scent 100ml","কোডোমো বেবি শ্যাম্পু ওরিজিনাল সেন্ট ১০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_shampoo_Original_100ml.jpg,https://dorgora.com/shop/kodomo-baby-shampoo-original-scent-100ml/,"Bath &amp; Skincare","Kodomo",190BDT,in stock,STO-ITEM-2020-00452_5671,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,175BDT,new,published,,,,,,,
STO-ITEM-2020-00451_5669,"Kodomo Baby Bath (Gentle Soft) 200ml","কোডোমো বেবি বাথ (জেন্টাল সফ্ট) ২০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Bath_Gentle_Soft_200ml.jpg,https://dorgora.com/shop/kodomo-baby-bath-gentle-soft-200ml/,"Bath &amp; Skincare, New Arrivals, Offers","Kodomo",328BDT,in stock,STO-ITEM-2020-00451_5669,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,293BDT,new,published,,,,,,,
STO-ITEM-2020-00450_5667,"Kodomo Head To Toe Wash 100ml","কোডোমো হেড টু তৈ ওয়াশ ১০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Head_To_Toe_100ml.jpg,https://dorgora.com/shop/kodomo-head-to-toe-wash-100ml/,"Bath &amp; Skincare","Kodomo",190BDT,in stock,STO-ITEM-2020-00450_5667,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190BDT,new,published,,,,,,,
STO-ITEM-2020-00448_5665,"Kodomo Hair & Body Wash 200ml","কোডোমো হেয়ার & বডি ওয়াশ ২০০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Hair_and_Body_Wash_200ml.jpg,https://dorgora.com/shop/kodomo-hair-body-wash-200ml/,"Bath &amp; Skincare, New Arrivals, Offers","Kodomo",328BDT,in stock,STO-ITEM-2020-00448_5665,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,295BDT,new,published,,,,,,,
STO-ITEM-2020-00447_5663,"Kodomo Baby Soap Original With Moisturizer 75gm","কোডোমো বেবি সোপ ওরজিনাল উইথ ময়েশ্চারাইজার ৭৫ গ্রাম",https://dorgora.com/wp-content/uploads/2020/12/Kodomo_Baby_Soap_75gm.jpg,https://dorgora.com/shop/kodomo-baby-soap-original-with-moisturizer-75gm/,"Bath &amp; Skincare","Kodomo",110BDT,in stock,STO-ITEM-2020-00447_5663,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,110BDT,new,published,,,,,,,
STO-ITEM-2020-00445_5661,"Cup Cake Paper Large 100pcs","কাপ কেক পেপার (বড়) ১০০ পিস",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Paper_Large_100pcs.jpg,https://dorgora.com/shop/cup-cake-paper-large-100pcs/,"Kitchen Appliances, Offers","Dorgora",160BDT,in stock,STO-ITEM-2020-00445_5661,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,128BDT,new,published,,,,,,,
STO-ITEM-2020-00444_5659,"Cup Cake Paper Medium 100pcs","কাপ কেক পেপার (মিডিয়াম) ১০০ পিস",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Paper_Midium_100pcs.jpg,https://dorgora.com/shop/cup-cake-paper-medium-100pcs/,"Kitchen Appliances","Dorgora",145BDT,in stock,STO-ITEM-2020-00444_5659,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,116BDT,new,published,,,,,,,
STO-ITEM-2020-00443_5657,"Cup Cake Paper Small 100pcs","কাপ কেক পেপার (ছোট) ১০০ পিস",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Paper_Small_100pcs.jpg,https://dorgora.com/shop/cup-cake-paper-small-100pcs/,"Kitchen Appliances","Dorgora",135BDT,in stock,STO-ITEM-2020-00443_5657,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,108BDT,new,published,,,,,,,
STO-ITEM-2020-00442_5655,"Cup Cake Forma Large","কাপ কেক ফর্মা (বড়)",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Forma_Large.jpg,https://dorgora.com/shop/cup-cake-forma-large/,"Kitchen Appliances","Dorgora",35BDT,in stock,STO-ITEM-2020-00442_5655,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,35BDT,new,published,,,,,,,
STO-ITEM-2020-00441_5653,"Cup Cake Forma midium","কাপ কেক ফর্মা (মিডিয়াম)",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Forma_midium.jpg,https://dorgora.com/shop/cup-cake-forma-midium/,"Kitchen Appliances","Dorgora",32BDT,in stock,STO-ITEM-2020-00441_5653,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,32BDT,new,published,,,,,,,
STO-ITEM-2020-00440_5651,"Cup Cake Forma Small","কাপ কেক ফর্মা (ছোট)",https://dorgora.com/wp-content/uploads/2020/12/Cup_Cake_Forma_small.jpg,https://dorgora.com/shop/cup-cake-forma-small/,"Kitchen Appliances","Dorgora",25BDT,in stock,STO-ITEM-2020-00440_5651,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25BDT,new,published,,,,,,,
STO-ITEM-2020-00711_6153,"Beef Head Meat 1kg","কোয়ালিটিঃ মাঠে চরানো দেশী গরুর ফ্রেশ মাথার মাংস। 
  প্রতি সপ্তাহে বৃহস্প্রতিবার দেশী গরু জবেহ ও ডেলিভারি করা হয়।",https://dorgora.com/wp-content/uploads/2020/12/Beef_Head_Meat_1kg.jpg,https://dorgora.com/shop/beef-head-meat-1kg/,"Beef","Dorgora",440BDT,in stock,STO-ITEM-2020-00711_6153,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,440BDT,new,published,,,,,,,
STO-ITEM-2020-00703_6151,"Country Natural Whole Chicken Without Skin ± 50gm 1000gm","কান্ট্রি ন্যাচরাল হোল চিকেন উইথআউট স্কিন ±৫০ গ্রাম ১ কেজি",https://dorgora.com/wp-content/uploads/2020/12/Country_Natural_Whole_Chicken_Without_Skin_50gm_1000gm.jpg,https://dorgora.com/shop/country-natural-whole-chicken-without-skin-%c2%ac%c2%b150gm-1000gm/,"Chicken","Country Natural",310BDT,in stock,STO-ITEM-2020-00703_6151,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,310BDT,new,published,,,,,,,
STO-ITEM-2020-00530_6147,"Godrej Aer Pocket Violet Valley Bloom 10gm","গোদরেজ এয়ার স্প্রে ভায়োলেট ভ্যালি ভ্লুম ১০ মিলি",https://dorgora.com/wp-content/uploads/2020/12/Aer_Pocket_Violet_vally_Bloom_10gm.jpg,https://dorgora.com/shop/godrej-aer-pocket-violet-valley-bloom-10gm/,"Air Fresheners","Godrej",60BDT,in stock,STO-ITEM-2020-00530_6147,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60BDT,new,published,,,,,,,
STO-ITEM-2020-00526_6145,"Godrej Aer Pocket Bright Tangy Delight 10gm","গোদরেজ এয়ার পকেট ব্রাইট টেঙ্গি ডিলাইট ১০ গ্রাম",https://dorgora.com/wp-content/uploads/2020/12/Aer_Pocket_Bright_Tengy_Delight_10gm.jpg,https://dorgora.com/shop/godrej-aer-pocket-bright-tangy-delight-10gm/,"Air Fresheners","Godrej",60BDT,in stock,STO-ITEM-2020-00526_6145,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60BDT,new,published,,,,,,,
STO-ITEM-2020-00481_6135,"Lion Pacifier with case Teether","লায়ন পেসিফিয়ার উইথ কেস তিথার",https://dorgora.com/wp-content/uploads/2020/12/LION_Silicon_Pacipier_with_case_Teether-1.jpg,https://dorgora.com/shop/lion-pacifier-with-case-teether/,"Baby Accessories, Feeders","Kodomo, Lion",175BDT,in stock,STO-ITEM-2020-00481_6135,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,175BDT,new,published,,,,,,,
STO-ITEM-2020-00747_6122,"Molfix Baby Diaper Belt 4 Maxi 7-14kg 40pcs","মলফিক্স বেবি ডায়াপার বেল্ট ৪ ম্যাক্সি ৭-১৪ কেজি ৪০ পিস",https://dorgora.com/wp-content/uploads/2021/02/Molfix_Baby_Diaper_Belt_4_Maxi_7-14kg_40pcs.jpg,https://dorgora.com/shop/molfix-baby-diaper-belt-4-maxi-7-14kg-40pcs/,"Diapers &amp; Wipes, New Arrivals, Offers","Molfix",1150BDT,in stock,STO-ITEM-2020-00747_6122,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,897BDT,new,published,,,,,,,
