SKU,Short description,Tags
STO-ITEM-2020-00462,<ul>\n<li>কোডোমো বেবি গিফট সেট ব্যাগ</li>\n</ul>\n,"বেবী,babi,codomo,"
STO-ITEM-2020-00463,<ul>\n<li>কোডোমো ক্লিনজার ফর বেবি বোতল এন্ড একসেসোরিজ ৭৫০ মিলি</li>\n</ul>\n,"ক্লিনার,বেবী,বোটল,cleaner,babi,codomo,botol,"
STO-ITEM-2020-00469,<ul>\n<li>লায়ন স্ট্যান্ডার্ড ফিডার ২ ওজ ৬০ মিলি (বিপিএ ফ্রি)(</li>\n</ul>\n,"ফিটার,বেবী,কোডমো,feder,fider,babi,codomo,"
STO-ITEM-2020-00470,<ul>\n<li>লায়ন স্ট্যান্ডার্ড ফিডার ৪ ওজ ১২৫ মিলি (বিপিএ ফ্রি)(</li>\n</ul>\n,"ফিটার,বেবী,কোডমো,feder,fider,babi,codomo,"
STO-ITEM-2020-00471,<ul>\n<li>লায়ন স্ট্যান্ডার্ড ফিডার ৮ ওজ ২৫০ মিলি (বিপিএ ফ্রি)(</li>\n</ul>\n,"ফিটার,বেবী,কোডমো,feder,fider,babi,codomo,"
STO-ITEM-2020-00475,<ul>\n<li>লায়ন ২পিস সিলিকন স্ট্যান্ডার্ড নিপল ইন ব্লিস্টার কার্ড</li>\n</ul>\n,"নিপোল,বেবী,কোডমো,niple,nipole,codomo,babi"
STO-ITEM-2020-00479,<ul>\n<li>লায়ন সিলিকোন তিথার</li>\n</ul>\n,"টিথার,বেবী,কোডমো,tethar,codomo,babi"
STO-ITEM-2020-00481,<ul>\n<li>লায়ন পেসিফিয়ার উইথ কেস তিথার</li>\n</ul>\n,"টিথার,বেবী,কোডমো,tethar,codomo,babi"
STO-ITEM-2020-00484,<ul>\n<li>লায়ন বোতল & নিপল ব্রাশ</li>\n</ul>\n," টুথ,ব্রাস,কোডমো,বেবী,codomo,babi,brash,toothbrush"
STO-ITEM-2020-00489,<ul>\n<li>কোডোমো টুথ পেস্ট ক্রিম অরেঞ্জ ৮০ গ্রাম</li>\n</ul>\n," টুথপেস্ট,কোডমো,বেবী,codomo,babi,tothpaste,past"
